afternoon      chieu          
all            tat ca         
allow          cho phep       
ancestor       to tien        
ant            kien           
application    ung dung       
array          day, hang      
author         tac gia        
bag            tui            
ball           bong           
bay            vinh           
beat           nhip dieu      
bedroom        phong ngu      
book           sach           
boy            chang trai     
chicken        thit ga        
chief          dau bep        
chinese        trung quoc     
city           thanh pho      
clock          dong ho        
comment        binh luan      
company        cong ty        
country        dat nuoc       
cow            bo             
dad            bo             
deep           sau            
delete         loai bo        
develope       phat trien     
document       tai lieu       
double         gap doi        
elephant       voi            
eliminate      loai bo        
english        tieng anh      
estimate       xap xi         
evening        toi            
expect         ky vong        
file           tai lieu       
fill           lam day        
film           phim           
full           day            
game           tro choi       
game           giai tri       
game           chuong trinh truyen hinh
game           dien tu        
garden         san            
girl           co gai         
guard          ve si          
gun            sung           
head           dau            
health         suc khoe       
hell           dia nguc       
hello          xin chao       
high           cao            
hotel          khach san      
house          nha            
illegal        trai luat      
illustrate     lam sang to    
insert         chen, them vao 
instruction    huong dan      
lamp           den            
laptop         may tinh xach tay
laugh          cuoi           
literal        van            
lost           mat            
low            thap           
lunch          trua           
math           toan           
morning        sang           
parent         bo me noi chung
police         canh sat       
probably       co le          
problem        van de         
process        qua trinh      
product        san xuat       
production     san pham       
profession     su chuyen nghiep
professor      giao su        
profile        ho so          
prohibit       cam            
project        du an          
pronoun        phat am        
proof          bang chung     
property       cau hinh       
provide        cung cap       
province       tinh           
push           day            
quantity       so luong       
scan           truy tim       
sex            gioi tinh      
shout          gao thet       
sing           hat            
soul           tam hon        
source         nguon          
special        dac biet       
tea            tra            
transform      chuyen doi     
translate      phien dich     
transport      phuong tien giao thong
ultimate       dot pha        
union          vung mien      
vietnam        viet nam       
world          the gioi       
